timecode_in,timecode_out,label,category,risk_band,identity
01:00:00:00,01:00:02:12,Pizza Hut,TRADEMARK,MEDIUM,CORROBORATED
01:00:02:19,01:00:08:02,Pizza Delivery Driver,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:03:10,01:00:05:00,Pizza Hut,TRADEMARK,MEDIUM,CORROBORATED
01:00:04:22,01:00:08:07,C.C.,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:08:14,01:00:11:05,Arthur the cat,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:14:17,01:00:17:19,Lelouch Lamperouge,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:18:05,01:00:19:19,Pizza Hut,TRADEMARK,MEDIUM,CORROBORATED
01:00:18:05,01:00:27:12,C.C.,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:20:07,01:00:22:12,Arthur the cat,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:22:19,01:00:49:00,Pizza Hut,TRADEMARK,MEDIUM,CORROBORATED
01:00:22:19,01:00:27:12,Framed Artwork,COPYRIGHT_ART,MEDIUM,SINGLE_SOURCE
01:00:22:19,01:00:27:19,Lelouch Lamperouge,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:24:12,01:00:26:00,Zero's Mask,COPYRIGHT_ART,MEDIUM,SINGLE_SOURCE
01:00:29:00,01:00:35:00,Nunnally Lamperouge,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:34:19,01:00:41:00,Framed Artwork,COPYRIGHT_ART,MEDIUM,SINGLE_SOURCE
01:00:35:00,01:00:48:19,C.C.,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:35:10,01:00:40:19,Lelouch Lamperouge,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:45:10,01:00:47:02,Lelouch Lamperouge,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
