timecode_in,timecode_out,label,category,risk_band,identity
01:00:00:00,01:00:02:05,Painting,COPYRIGHT_ART,LOW,SINGLE_SOURCE
01:00:00:00,01:00:29:07,Instrumental Score,MUSIC_SYNC,MEDIUM,SINGLE_SOURCE
01:00:02:02,01:00:03:12,Grandmother,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:03:17,01:00:06:00,Young Boy (Bobby),RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:07:10,01:00:10:07,Painting,COPYRIGHT_ART,LOW,SINGLE_SOURCE
01:00:07:12,01:00:09:00,Father,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:09:12,01:00:10:19,Little Girl,RIGHT_OF_PUBLICITY,LOW,SINGLE_SOURCE
01:00:13:12,01:00:16:05,Young Boy (Bobby),RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:16:12,01:00:17:19,Father,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:17:12,01:00:20:07,Bayer Aspirin,TRADEMARK,MEDIUM,CORROBORATED
01:00:17:22,01:00:18:22,Fast Pain Relief,TEXT_ON_SCREEN,LOW,CONFLICTED
01:00:21:19,01:00:25:05,Father,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:25:12,01:00:29:07,Bayer Aspirin,TRADEMARK,MEDIUM,CORROBORATED
01:00:25:12,01:00:26:19,Fast Pain Relief,TEXT_ON_SCREEN,LOW,CONFLICTED
01:00:27:05,01:00:29:07,Bayer Works Wonders,TEXT_ON_SCREEN,LOW,CORROBORATED
