timecode_in,timecode_out,label,category,risk_band,identity
01:00:00:00,01:00:09:12,Landscape Painting,COPYRIGHT_ART,LOW,SINGLE_SOURCE
01:00:00:12,01:00:01:05,Elderly woman at dinner table,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:00:12,01:00:01:05,Man in tie at dinner table,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:01:22,01:00:03:17,Elderly woman at dinner table,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:03:17,01:00:05:10,Young boy at dinner table,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:05:10,01:00:07:02,Young girl at dinner table,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:06:00,01:00:15:00,Dinner Dialogue,TEXT_ON_SCREEN,MEDIUM,CONFLICTED
01:00:07:12,01:00:09:19,Man in tie at dinner table,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:09:22,01:00:10:17,Young girl at dinner table,RIGHT_OF_PUBLICITY,MEDIUM,SINGLE_SOURCE
01:00:12:19,01:00:16:07,Young boy at dinner table,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:16:07,01:00:17:12,Man with headache,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:17:12,01:00:19:00,Fast Pain Relief,TEXT_ON_SCREEN,MEDIUM,CONFLICTED
01:00:17:14,01:00:20:07,Bayer Aspirin,TRADEMARK,MEDIUM,CORROBORATED
01:00:21:14,01:00:25:12,Man with headache,RIGHT_OF_PUBLICITY,HIGH,SINGLE_SOURCE
01:00:25:19,01:00:28:12,Bayer Aspirin,TRADEMARK,MEDIUM,CORROBORATED
01:00:26:12,01:00:28:12,Fast Pain Relief,TEXT_ON_SCREEN,MEDIUM,CONFLICTED
01:00:27:00,01:00:28:12,Bayer Works Wonders,TEXT_ON_SCREEN,LOW,CORROBORATED
